0,1,1
0,4,1
0,9,1
0,16,1
0,23,1
0,33,1
0,35,1
0,41,1
0,65,1
0,90,1
0,93,1
0,104,1
1,0,1
1,25,1
1,27,1
1,33,1
1,37,1
1,45,1
1,57,1
1,89,1
1,101,1
1,103,1
1,105,1
1,109,1
2,3,1
2,6,1
2,13,1
2,14,1
2,15,1
2,47,1
2,60,1
2,64,1
2,72,1
2,74,1
2,100,1
2,106,1
3,2,1
3,5,1
3,11,1
3,26,1
3,40,1
3,52,1
3,58,1
3,72,1
3,74,1
3,81,1
3,84,1
3,102,1
4,0,1
4,5,1
4,9,1
4,16,1
4,23,1
4,28,1
4,41,1
4,69,1
4,93,1
4,104,1
4,108,1
5,3,1
5,4,1
5,10,1
5,11,1
5,52,1
5,74,1
5,81,1
5,84,1
5,90,1
5,97,1
5,98,1
5,107,1
6,2,1
6,7,1
6,32,1
6,39,1
6,47,1
6,55,1
6,58,1
6,60,1
6,64,1
6,85,1
6,100,1
6,106,1
7,6,1
7,8,1
7,21,1
7,22,1
7,40,1
7,68,1
7,73,1
7,77,1
7,78,1
7,82,1
7,108,1
7,111,1
8,7,1
8,9,1
8,21,1
8,22,1
8,41,1
8,51,1
8,68,1
8,77,1
8,78,1
8,90,1
8,111,1
9,0,1
9,4,1
9,8,1
9,16,1
9,22,1
9,23,1
9,41,1
9,64,1
9,93,1
9,104,1
9,108,1
10,5,1
10,11,1
10,60,1
10,72,1
10,74,1
10,81,1
10,84,1
10,98,1
10,102,1
10,107,1
11,3,1
11,5,1
11,10,1
11,24,1
11,28,1
11,50,1
11,69,1
11,90,1
11,97,1
11,104,1
12,13,1
12,14,1
12,17,1
12,18,1
12,26,1
12,34,1
12,36,1
12,38,1
12,43,1
12,85,1
13,2,1
13,12,1
13,15,1
13,32,1
13,39,1
13,45,1
13,60,1
13,64,1
13,100,1
13,106,1
13,110,1
14,2,1
14,12,1
14,15,1
14,26,1
14,38,1
14,43,1
14,54,1
14,71,1
14,85,1
14,99,1
15,2,1
15,13,1
15,14,1
15,32,1
15,39,1
15,47,1
15,60,1
15,68,1
15,92,1
15,100,1
15,106,1
15,114,1
16,0,1
16,4,1
16,9,1
16,17,1
16,23,1
16,38,1
16,41,1
16,67,1
16,81,1
16,93,1
16,104,1
17,12,1
17,16,1
17,20,1
17,27,1
17,58,1
17,62,1
17,65,1
17,87,1
17,95,1
17,96,1
17,113,1
18,12,1
18,19,1
18,31,1
18,34,1
18,36,1
18,38,1
18,42,1
18,54,1
18,61,1
18,71,1
18,99,1
19,18,1
19,29,1
19,30,1
19,33,1
19,35,1
19,36,1
19,44,1
19,55,1
19,79,1
19,94,1
19,101,1
20,17,1
20,21,1
20,36,1
20,62,1
20,65,1
20,70,1
20,75,1
20,76,1
20,87,1
20,96,1
20,113,1
21,7,1
21,8,1
21,20,1
21,22,1
21,32,1
21,46,1
21,51,1
21,68,1
21,77,1
21,108,1
21,111,1
22,7,1
22,8,1
22,9,1
22,21,1
22,23,1
22,47,1
22,51,1
22,68,1
22,77,1
22,78,1
22,108,1
23,0,1
23,4,1
23,9,1
23,16,1
23,22,1
23,41,1
23,78,1
23,90,1
23,93,1
23,104,1
23,111,1
24,11,1
24,25,1
24,28,1
24,50,1
